order_id,product_id,quantity,unit_price,customer_id,order_date,promised_delivery_time,actual_delivery_time,delivery_status,order_total,payment_method,delivery_partner_id,store_id,product_name,category,brand,price,mrp,margin_percentage,shelf_life_days,min_stock_level,max_stock_level
1961864118,642612,3,517.03,30065862,2024-07-17 08:34:01,2024-07-17 08:52:01,2024-07-17 08:47:01,On Time,3197.07,Cash,63230,4771,Pet Treats,Pet Care,Pillay-Ahuja,517.03,795.43,35.0,365,16,57
1549769649,378676,1,881.42,9573071,2024-05-28 13:14:29,2024-05-28 13:25:29,2024-05-28 13:27:29,On Time,976.55,Cash,14983,7534,Orange Juice,Cold Drinks & Juices,Baral-Kamdar,881.42,1259.17,30.0,180,19,65
9185164487,741341,2,923.84,45477575,2024-09-23 13:07:12,2024-09-23 13:25:12,2024-09-23 13:29:12,On Time,839.05,UPI,39859,9886,Eggs,Dairy & Breakfast,Prasad LLC,923.84,1154.8,20.0,7,13,62
9644738826,561860,1,874.78,88067569,2023-11-24 16:16:56,2023-11-24 16:34:56,2023-11-24 16:33:56,On Time,440.23,Card,61497,7917,Orange Juice,Cold Drinks & Juices,Gupta Ltd,874.78,1249.69,30.0,180,21,90
5427684290,602241,2,976.55,83298567,2023-11-20 05:00:39,2023-11-20 05:17:39,2023-11-20 05:18:39,On Time,2526.68,Cash,84315,2741,Nuts,Snacks & Munchies,Bahl-Pau,976.55,1502.38,35.0,90,12,75
3265154092,681063,1,321.28,43367112,2023-03-18 16:29:51,2023-03-18 16:49:51,2023-03-18 16:48:51,On Time,3161.43,UPI,554,3442,Mango Drink,Cold Drinks & Juices,Dass and Sons,321.28,458.97,30.0,180,20,91
4898355547,56589,3,517.77,13284996,2023-04-16 18:50:37,2023-04-16 19:01:37,2023-04-16 19:02:37,On Time,956.4,Card,14630,1318,Vitamins,Pharmacy,"Pai, Kashyap and Ramachandran",517.77,647.21,20.0,365,16,85
6568151549,500739,2,359.98,88866835,2024-03-31 06:26:48,2024-03-31 06:37:48,2024-03-31 06:39:48,On Time,905.47,Cash,67714,115,Bread,Dairy & Breakfast,Aggarwal Group,359.98,449.98,20.0,7,18,81
6006693867,490939,1,80.25,24496983,2023-07-13 23:49:36,2023-07-14 00:02:36,2023-07-14 00:05:36,On Time,1371.17,Card,91362,9021,Lotion,Personal Care,"Roy, Barad and De",80.25,123.46,35.0,365,12,67
374186990,760828,2,563.45,52215833,2023-08-09 01:17:30,2023-08-09 01:37:30,2023-08-09 01:44:30,Slightly Delayed,1601.19,Wallet,77203,7955,Pet Treats,Pet Care,"Khurana, Khosla and Yohannan",563.45,866.85,35.0,365,23,93
4455336265,753354,3,423.56,43431724,2023-08-30 19:37:06,2023-08-30 19:47:06,2023-08-30 19:45:06,On Time,2362.33,UPI,64046,3784,Shampoo,Personal Care,Sant-Mahajan,423.56,651.63,35.0,365,20,52
3539286337,684939,1,727.95,77559557,2023-04-25 20:32:24,2023-04-25 20:44:24,2023-04-25 20:39:24,On Time,1463.8,Wallet,94899,2463,Lotion,Personal Care,"Sibal, Bhatnagar and Rajan",727.95,1119.92,35.0,365,22,50
9171116867,500739,3,359.98,87107263,2023-10-22 11:15:33,2023-10-22 11:25:33,2023-10-22 11:37:33,Slightly Delayed,822.63,Card,73907,6899,Bread,Dairy & Breakfast,Aggarwal Group,359.98,449.98,20.0,7,18,81
5504941865,540618,1,317.05,76512976,2024-01-28 02:39:11,2024-01-28 02:55:11,2024-01-28 03:06:11,Slightly Delayed,2287.68,Wallet,56077,9809,Popcorn,Snacks & Munchies,Golla-Luthra,317.05,487.77,35.0,90,28,87
5868326481,53833,3,134.69,37556526,2024-03-15 21:07:07,2024-03-15 21:24:07,2024-03-15 21:21:07,On Time,1962.35,Wallet,94140,3106,Rice,Grocery & Staples,Tella-Master,134.69,158.46,15.0,365,26,89
2137046916,455755,2,44.09,12059049,2024-02-03 08:50:32,2024-02-03 09:03:32,2024-02-03 09:01:32,On Time,3373.96,UPI,12377,1007,Detergent,Household Care,Mangal-Sathe,44.09,58.79,25.0,365,23,53
8195544338,131937,1,287.81,26199489,2023-04-26 04:03:57,2023-04-26 04:20:57,2023-04-26 04:28:57,Slightly Delayed,845.71,Wallet,102,3809,Frozen Pizza,Instant & Frozen Food,"Varkey, Devi and Ganguly",287.81,479.68,40.0,180,18,68
2889700050,798639,1,211.25,84848018,2024-04-30 16:22:26,2024-04-30 16:33:26,2024-04-30 16:36:26,On Time,2706.54,Wallet,45032,78,Eggs,Dairy & Breakfast,Subramaniam LLC,211.25,264.06,20.0,7,12,78
65827885,324809,3,608.0,47577193,2023-07-27 00:13:05,2023-07-27 00:25:05,2023-07-27 00:20:05,On Time,1132.98,Cash,1108,3817,Bread,Dairy & Breakfast,Sidhu PLC,608.0,760.0,20.0,7,26,76
4656471694,679284,1,877.89,60728956,2023-12-09 08:08:08,2023-12-09 08:27:08,2023-12-09 08:35:08,Slightly Delayed,1525.5,Cash,62782,5739,Cough Syrup,Pharmacy,Pant LLC,877.89,1097.36,20.0,365,28,95
