antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Milk'}),frozenset({'Soap'}),0.00900032144005143,0.02925104468016715,0.0012857602057216328,0.14285714285714285,4.883830455259027,1.0,0.001022491401142822,1.1325404478731382,0.802465131365553,0.03478260869565217,0.11702932828760643,0.09340659340659341
frozenset({'Soap'}),frozenset({'Milk'}),0.02925104468016715,0.00900032144005143,0.0012857602057216328,0.04395604395604395,4.883830455259027,1.0,0.001022491401142822,1.0365628821719002,0.819205298013245,0.03478260869565217,0.03527319258749683,0.09340659340659341
frozenset({'Carrots'}),frozenset({'Curd'}),0.03182256509161042,0.023465123754419802,0.0016072002571520412,0.050505050505050504,2.1523453715234537,1.0,0.0008604798290943233,1.028478220726728,0.552988047808765,0.02994011976047904,0.027689668242663633,0.059499100594991
frozenset({'Curd'}),frozenset({'Carrots'}),0.023465123754419802,0.03182256509161042,0.0016072002571520412,0.0684931506849315,2.1523453715234533,1.0,0.0008604798290943233,1.0393669521810653,0.54825543120474,0.02994011976047904,0.03787589368553184,0.059499100594991
frozenset({'Lotion'}),frozenset({'Mango Drink'}),0.05946640951462552,0.02185792349726776,0.0025715204114432656,0.04324324324324324,1.9783783783783782,1.0,0.0012717081816153854,1.0223518878700872,0.5258031442241968,0.03265306122448979,0.02186320398610901,0.08044515103338631
frozenset({'Mango Drink'}),frozenset({'Lotion'}),0.02185792349726776,0.05946640951462552,0.0025715204114432656,0.1176470588235294,1.9783783783783782,1.0,0.0012717081816153854,1.0659380692167577,0.5055865921787709,0.03265306122448979,0.061859193438140794,0.08044515103338631
frozenset({'Orange Juice'}),frozenset({'Chips'}),0.03728704596592736,0.0273224043715847,0.0019286403085824494,0.05172413793103448,1.8931034482758622,1.0,0.0009098685608795163,1.025732737208147,0.49003895381190876,0.030769230769230767,0.025087175513366915,0.06115618661257606
frozenset({'Chips'}),frozenset({'Orange Juice'}),0.0273224043715847,0.03728704596592736,0.0019286403085824494,0.07058823529411765,1.893103448275862,1.0,0.0009098685608795163,1.0358303935809643,0.4850187265917604,0.030769230769230767,0.03459098497495826,0.06115618661257606
frozenset({'Salt'}),frozenset({'Cat Food'}),0.019286403085824494,0.04885888781742205,0.0016072002571520412,0.08333333333333334,1.7055921052631582,1.0,0.0006648880523801599,1.0376084860173578,0.42182890855457233,0.024154589371980676,0.036245353159851314,0.058114035087719305
frozenset({'Cat Food'}),frozenset({'Salt'}),0.04885888781742205,0.019286403085824494,0.0016072002571520412,0.03289473684210527,1.7055921052631582,1.0,0.0006648880523801599,1.0140712022513925,0.4349442379182157,0.024154589371980676,0.013875950939295147,0.058114035087719305
